SampleID	SampleType	Env
CON.111	China	Human
DLF001	China	Human
DLF002	China	Human
DLF003	China	Human
DLF004	China	Human
DLF005	China	Human
DLF006	China	Human
DLF007	China	Human
DLF008	China	Human
DLF009	China	Human
DLF010	China	Human
DLF012	China	Human
DLF013	China	Human
DLF014	China	Human
DLM001	China	Human
DLM002	China	Human
DLM003	China	Human
DLM004	China	Human
DLM005	China	Human
DLM006	China	Human
DLM007	China	Human
DLM008	China	Human
DLM009	China	Human
DLM010	China	Human
DLM011	China	Human
DLM012	China	Human
DLM013	China	Human
DLM014	China	Human
DLM015	China	Human
DLM016	China	Human
DLM017	China	Human
DLM018	China	Human
DLM019	China	Human
DLM020	China	Human
DLM021	China	Human
DLM022	China	Human
DLM023	China	Human
DLM024	China	Human
DLM027	China	Human
DLM028	China	Human
DOF002	China	Human
DOF003	China	Human
DOF004	China	Human
DOF006	China	Human
DOF007	China	Human
DOF008	China	Human
DOF009	China	Human
DOF010	China	Human
DOF011	China	Human
DOF012	China	Human
DOF013	China	Human
DOF014	China	Human
DOM001	China	Human
DOM003	China	Human
DOM005	China	Human
DOM008	China	Human
DOM010	China	Human
DOM012	China	Human
DOM013	China	Human
DOM014	China	Human
DOM015	China	Human
DOM016	China	Human
DOM017	China	Human
DOM018	China	Human
DOM019	China	Human
DOM020	China	Human
DOM021	China	Human
DOM022	China	Human
DOM023	China	Human
DOM024	China	Human
DOM025	China	Human
DOM026	China	Human
NLF001	China	Human
NLF002	China	Human
NLF005	China	Human
NLF006	China	Human
NLF007	China	Human
NLF008	China	Human
NLF009	China	Human
NLF010	China	Human
NLF011	China	Human
NLF012	China	Human
NLF013	China	Human
NLF014	China	Human
NLF015	China	Human
NLM001	China	Human
NLM002	China	Human
NLM003	China	Human
NLM004	China	Human
NLM005	China	Human
NLM006	China	Human
NLM007	China	Human
NLM008	China	Human
NLM009	China	Human
NLM010	China	Human
NLM015	China	Human
NLM016	China	Human
NLM017	China	Human
NLM021	China	Human
NLM022	China	Human
NLM023	China	Human
NLM024	China	Human
NLM025	China	Human
NLM026	China	Human
NLM027	China	Human
NLM028	China	Human
NLM029	China	Human
NLM031	China	Human
NLM032	China	Human
NOF001	China	Human
NOF002	China	Human
NOF004	China	Human
NOF005	China	Human
NOF006	China	Human
NOF007	China	Human
NOF008	China	Human
NOF009	China	Human
NOF010	China	Human
NOF011	China	Human
NOF012	China	Human
NOF013	China	Human
