# Constructed from biom file
#OTU ID	oneuL1201	oneuL1202	oneuL120a1.2	oneuL120a1	oneuL120a2.2	oneuL120a2	oneuL120e1	oneuL1251	oneuL1252	oneuL125a1.2	oneuL125a1	oneuL125c1	oneuL131a1	oneuL1401	oneuL1402.2	oneuL1402	oneuL1403	oneuL1404.2	oneuL1404	oneuL2181	oneuL2191	oneuL2192	oneuL2201	oneuL2202	oneuL2421	oneuL2422	oneuL2431	oneuL2451	oneuL2461	oneuL3031	oneuL3041	oneuL304a1	oneuL304b1	oneuL3081	oneuL3082	oneuL308a1	oneuL3181	oneuL3182	oneuL3301.2	oneuL3301	oneuL330a1	oneuL3441	oneuL3461	oneuL3462	oneuLb401	oneuLcontroL1	oneuLcontroL2	oneuLh2411	oneuLH2412.2	oneuLh2412	oneuLs2101.2	oneuLs2101	oneuLs2301	oneuLs2401
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Terracoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	20	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__	21	5	103	94	203	140	129	3	183	24	0	103	354	50	202	358	109	215	57	131	133	339	229	113	115	132	40	33	210	0	218	110	60	195	188	153	155	102	193	190	323	184	162	250	195	0	0	263	281	277	145	154	292	416
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Kineococcus	0	18	78	85	105	72	53	0	71	0	0	18	29	34	24	10	57	65	29	70	100	75	113	79	103	29	17	39	124	0	235	37	20	22	77	175	56	39	91	98	88	76	57	88	92	0	0	70	133	123	47	84	43	143
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Kineosporia	0	0	4	0	0	0	0	0	0	0	0	0	48	0	16	12	0	0	0	0	0	0	0	0	0	0	11	14	4	0	0	19	9	7	38	0	36	0	5	0	4	0	0	13	0	0	0	5	6	2	6	0	0	38
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__	95	109	782	340	1237	736	469	65	589	32	0	457	177	518	452	535	449	704	229	563	1458	335	1192	938	1290	278	98	248	1712	0	1701	203	77	355	689	1399	400	597	963	682	1246	1182	660	954	962	88	28	525	970	880	547	370	665	1255
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Agrococcus	13	0	39	7	156	47	35	0	33	0	0	13	0	0	7	0	17	31	0	23	59	11	52	49	45	9	0	5	57	0	72	0	0	8	27	54	17	25	34	16	46	34	37	26	39	0	0	12	62	26	225	20	26	26
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Agromyces	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Clavibacter	0	0	0	0	165	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	4	0	0	0	11	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryocola	0	0	0	0	0	0	0	0	0	0	0	0	77	116	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium	0	131	9	0	0	0	0	0	0	0	0	0	154	0	751	839	0	151	0	15	0	0	0	0	0	5	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	98	39	0	0	0	0	0	128	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter	0	0	4	20	7	3	0	14	0	0	0	11	0	0	0	0	24	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	67	43	940	49	121	992	587	104	828	186	0	39	59	175	111	25	535	738	265	149	66	408	1272	146	1501	133	51	0	2330	0	2035	183	2	331	478	1428	438	1120	1236	1038	1858	1870	1055	1010	1031	33	0	410	1169	1038	608	378	1025	805
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Mycetocola	0	0	0	336	1759	0	99	0	0	0	0	273	0	756	0	0	8	23	0	920	1307	96	196	1654	99	71	0	154	13	0	180	43	0	0	35	19	552	103	77	23	23	16	0	56	72	0	0	0	38	98	0	0	14	5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Pseudoclavibacter	0	0	10	0	0	0	0	0	17	3	0	0	0	7	0	0	0	0	0	0	0	6	10	0	0	25	0	0	0	0	0	0	0	0	12	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Rathayibacter	185	0	1317	0	772	1207	590	102	995	0	0	3	0	81	134	260	746	887	336	0	0	440	1405	828	2045	218	87	0	4171	0	2331	207	84	415	1050	1527	0	1307	1653	1473	3914	3505	1432	1388	1449	0	0	705	1222	1312	0	383	1500	1777
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Salinibacterium	0	24	0	0	78	0	0	0	0	31	0	0	0	0	0	0	0	0	0	97	0	0	0	151	0	0	0	127	0	0	0	19	26	0	0	0	61	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__	37	31	177	197	109	107	141	217	153	37	40	93	57	560	138	208	91	105	34	142	185	324	160	118	51	106	83	33	164	0	137	53	39	171	69	154	324	141	127	139	129	359	226	235	352	92	0	586	332	388	205	283	218	346
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter	0	0	0	0	0	0	62	238	0	0	0	0	0	17	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	6	21	0	12	55	0	22	0	0	6	3	0	0	0	0	0	3	12	5	4	0	14	13	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Citricoccus	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria	60	60	317	24	44	42	584	2539	214	1017	0	200	62	0	0	0	0	0	0	38	125	0	206	32	11	214	1179	1040	36	0	0	59	15	55	0	18	51	0	229	340	52	0	64	0	0	7	15	0	93	0	62	71	0	53
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus	104	59	923	126	59	57	1674	2097	500	63	5	377	68	0	48	0	0	0	0	112	600	24	285	83	27	191	537	247	0	0	0	24	0	0	24	18	34	36	0	16	48	0	0	0	0	0	5	35	16	45	169	60	11	40
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia	0	0	21	11	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Renibacterium	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	56	0	41	23	0	39	47	44	0	19	69	0	0	0	0	60	88	0	0	68	77
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0	22	20	18	23	12	39	23	12	0	0	0	3	0	0	0	0	0	0	0	0	4	24	9	0	29	18	0	0	0	0	0	0	0	0	0	12	0	3	5	2	0	0	0	0	0	0	8	0	0	0	26	0	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__	0	9	23	49	19	18	28	10	80	13	0	19	19	0	12	57	9	19	36	24	10	92	23	22	7	17	13	24	7	0	0	42	64	87	13	72	48	20	23	28	35	25	35	58	70	57	0	88	5	39	63	95	56	93
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Actinoplanes	0	0	5	15	0	6	2	0	10	6	0	4	22	0	98	109	0	4	0	8	0	29	0	3	0	10	7	0	0	0	0	17	41	23	25	41	41	2	0	0	0	0	4	24	9	0	0	29	14	0	71	83	0	23
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Catellatospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	7	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Couchioplanes	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	92
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Dactylosporangium	0	0	0	0	0	3	0	3	0	15	0	0	10	0	0	0	0	0	0	2	0	4	5	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	3	11
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Pilimelia	0	0	0	0	0	0	0	0	2	18	0	0	2	0	0	47	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	7	0	5	5	0	5	0	0	0	0	6	0	2	11	2	0	23
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Verrucosispora	0	0	0	0	0	0	0	0	0	0	0	0	93	0	74	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Virgisporangium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium	9	13	21	59	25	15	59	16	27	316	0	30	27	16	12	20	59	47	20	14	35	43	42	11	10	40	55	75	11	0	17	11	14	72	32	68	47	12	10	8	15	18	26	21	105	0	0	38	11	24	121	128	24	27
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae;g__	0	33	33	129	76	57	52	25	88	158	0	53	90	14	127	276	22	40	12	54	71	92	81	38	37	65	20	38	28	0	42	44	30	107	73	90	70	24	46	20	44	46	70	121	63	0	0	73	71	80	119	78	60	128
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__	0	0	10	3	13	4	4	0	7	0	0	0	0	11	3	0	5	7	0	0	22	5	11	16	18	0	0	0	29	0	33	0	0	0	4	16	0	11	14	6	15	10	10	11	20	0	0	11	15	10	4	14	21	10
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Nocardia	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	47	47	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus	26	182	84	78	217	132	69	21	111	243	0	51	14	71	18	16	105	91	42	118	227	72	258	125	338	51	25	13	152	0	284	44	5	63	83	178	59	99	151	125	154	164	129	132	230	46	0	91	250	129	50	51	95	187
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__	35	79	85	250	113	97	128	35	114	154	0	85	186	30	72	120	35	88	85	181	97	234	149	69	37	157	26	139	43	0	95	100	64	384	159	218	306	42	49	108	56	62	100	195	194	42	12	225	110	166	550	488	99	346
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Actinopolymorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	2	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Aeromicrobium	0	0	35	28	60	0	13	17	24	22	0	0	17	42	9	31	19	43	15	78	38	7	36	18	41	0	4	46	34	0	75	0	3	0	22	0	43	35	46	0	59	29	23	32	27	0	0	21	59	33	42	46	21	39
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Friedmanniella	3	42	115	151	145	91	89	17	113	8	0	99	104	19	288	652	62	206	35	158	78	224	171	74	34	41	38	54	81	0	40	85	34	320	166	213	142	68	161	187	177	112	94	255	157	0	0	252	159	279	303	205	204	425
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Kribbella	0	0	2	0	0	3	5	0	0	0	0	6	0	0	3	0	0	0	0	4	2	2	0	0	0	0	2	0	0	0	0	0	0	0	3	0	5	0	0	0	0	3	0	0	0	0	0	8	0	0	4	10	0	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides	0	32	27	104	64	21	29	5	19	55	0	9	73	10	14	32	10	36	11	47	33	54	46	19	18	53	16	29	4	0	49	31	29	81	56	53	54	23	33	22	12	26	23	77	44	0	10	70	52	31	198	214	32	98
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Propionicimonas	0	0	0	17	10	2	0	0	0	0	0	0	0	0	0	5	13	0	11	0	0	0	8	0	0	3	7	0	0	0	0	0	0	0	6	0	0	0	9	15	12	0	0	3	2	0	0	4	0	0	0	0	0	5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiopsaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	7	0	0	0	0	2	0	2	0	9	0	0	0	0	0	0	5	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae;g__	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae;g__Cellulosimicrobium	16	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae;g__Promicromonospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__	4	10	20	106	60	22	35	3	39	15	0	24	52	3	39	117	9	83	15	15	17	73	57	3	0	9	9	12	19	0	4	13	21	116	60	42	58	6	21	23	39	7	42	106	51	0	0	67	53	92	104	77	33	152
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium	6	27	182	86	13	61	76	232	40	0	0	142	79	11	34	54	0	4	22	45	184	103	174	16	22	822	161	102	41	0	8	61	0	43	222	155	36	11	22	7	31	2	21	41	0	164	24	144	30	24	141	97	20	60
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__	0	0	0	5	0	0	0	0	0	0	0	0	13	10	0	4	0	2	0	0	0	7	0	0	0	6	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	63	0	0	0	5	0	0	0	0	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Actinomycetospora	0	15	0	49	16	0	31	11	25	6	0	19	22	11	130	103	25	51	18	24	11	29	30	31	9	38	13	10	18	0	18	17	8	40	34	65	43	10	14	10	11	12	8	46	26	0	0	26	26	29	79	51	24	27
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Amycolatopsis	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	12	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia	41	66	109	163	148	105	114	37	223	49	0	116	164	31	166	331	120	110	34	182	107	504	217	108	36	230	88	135	127	0	88	121	109	438	454	231	375	74	89	151	161	124	125	338	243	3	0	354	170	199	397	382	211	521
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Saccharomonospora	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Saccharopolyspora	0	0	0	3	0	0	0	2	0	0	0	0	0	7	10	6	0	2	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Thermobispora	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	5	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Ruaniaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sanguibacteraceae;g__Sanguibacter	0	5	46	0	55	45	36	0	34	0	0	0	28	17	7	14	13	25	3	21	46	30	64	43	29	12	0	0	29	0	68	27	3	44	41	67	28	21	18	6	21	32	14	40	48	30	17	36	31	43	46	28	39	87
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;g__	0	48	89	46	97	78	98	13	110	6	0	106	77	27	151	175	61	148	42	125	82	265	130	88	35	91	31	28	90	0	46	96	22	207	96	64	115	80	115	102	166	139	91	248	154	0	0	235	184	225	198	210	187	292
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;g__Sporichthya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__	0	2	2	14	5	5	0	0	17	0	0	7	4	0	0	11	0	101	44	0	5	0	0	3	0	0	0	0	0	0	2	2	0	11	19	0	0	0	2	0	0	4	0	3	0	78	0	5	0	0	19	18	0	38
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces	11	0	5	7	0	7	11	0	2	22	0	3	6	14	13	14	4	13	0	9	41	5	7	11	0	2	0	0	6	0	6	9	0	4	0	9	3	3	0	12	11	0	4	0	42	64	2	18	14	9	94	92	89	14
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae;g__	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	27
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae;g__Nonomuraea	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae;g__Sphaerisporangium	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae;g__Streptosporangium	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;g__Actinoallomurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	12
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;g__Actinomadura	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	6
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Tsukamurellaceae;g__Tsukamurella	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Williamsiaceae;g__Williamsia	7	6	0	7	3	0	0	0	7	11	0	16	0	0	2	0	0	6	7	8	7	3	6	3	4	0	5	0	0	0	5	0	0	11	0	0	12	3	0	0	4	2	3	5	8	12	0	7	0	0	7	10	0	12
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Yaniellaceae;g__Yaniella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	13	15	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0	0	2	29	42	18	31	12	24	34	0	9	9	0	0	0	73	0	12	6	17	18	22	0	0	58	9	53	5	0	0	7	0	0	0	0	26	0	8	0	0	0	12	0	0	0	0	12	3	4	17	15	0	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	0	9	87	9	4	40	34	0	6	0	0	0	7	0	0	0	0	0	0	17	16	0	71	24	5	271	58	2	0	0	0	0	0	0	0	9	15	7	0	0	4	2	5	0	0	106	0	10	9	14	14	13	0	7
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	6	0	9	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	24	0	3	0	7	0	0	18	0	2	0	0	0	11	0	19	7	0	0	0	0	0	0	0	5	0	0	6	10	0	0	0	5	3	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
