# Constructed from biom file
#OTU ID	oneuL1201	oneuL1202	oneuL120a1.2	oneuL120a1	oneuL120a2.2	oneuL120a2	oneuL120e1	oneuL1251	oneuL1252	oneuL125a1.2	oneuL125a1	oneuL125c1	oneuL131a1	oneuL1401	oneuL1402.2	oneuL1402	oneuL1403	oneuL1404.2	oneuL1404	oneuL2181	oneuL2191	oneuL2192	oneuL2201	oneuL2202	oneuL2421	oneuL2422	oneuL2431	oneuL2451	oneuL2461	oneuL3031	oneuL3041	oneuL304a1	oneuL304b1	oneuL3081	oneuL3082	oneuL308a1	oneuL3181	oneuL3182	oneuL3301.2	oneuL3301	oneuL330a1	oneuL3441	oneuL3461	oneuL3462	oneuLb401	oneuLcontroL1	oneuLcontroL2	oneuLh2411	oneuLH2412.2	oneuLh2412	oneuLs2101.2	oneuLs2101	oneuLs2301	oneuLs2401
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	12	3	4	43	5	11	7	0	30	8	0	36	12	6	12	10	14	20	0	9	6	40	6	6	2	13	0	3	10	0	3	15	0	44	20	18	11	21	0	33	7	34	54	20	2	22	0	21	8	9	14	32	27	34
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__AKIW659;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__	0	0	0	11	5	0	14	2	6	0	0	0	72	0	56	49	0	16	0	0	8	27	5	4	0	0	3	0	5	0	0	0	0	13	13	23	0	0	0	8	4	7	12	13	10	0	0	4	11	11	2	11	17	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter	0	0	4	6	3	8	0	0	5	16	0	0	11	2	2	9	0	4	0	0	12	19	19	12	0	4	0	0	13	0	0	0	0	5	7	0	0	14	3	20	18	37	67	10	19	0	0	0	5	27	3	3	5	10
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__Bryobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__	0	0	0	3	0	0	0	0	7	0	0	0	2	0	0	0	0	6	0	0	0	5	4	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	9	3	5	16	0	2	10	0	0	0	3	7	12	0	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100;f__;g__	0	2	0	22	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29;f__;g__	0	0	0	5	0	3	4	0	0	25	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__	0	8	0	5	0	2	5	0	2	4	0	165	15	3	21	6	2	8	0	17	8	75	7	2	0	10	5	0	0	0	0	0	6	29	43	7	8	0	0	0	4	4	11	12	4	2	0	17	3	18	10	12	2	10
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__	0	25	12	119	16	37	21	10	30	14	0	95	99	2	27	9	6	31	18	45	10	137	43	10	0	69	20	27	14	0	10	8	14	110	81	43	59	7	3	9	5	3	13	33	14	10	0	52	32	45	115	135	19	29
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__	0	0	0	0	0	0	0	0	0	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	5	4	0	0	0	0	0	7	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	0	0	3	43	8	15	8	0	15	64	0	3	15	0	8	11	3	0	5	0	7	17	10	0	2	6	7	28	0	0	0	10	0	21	22	21	15	0	3	5	0	2	35	7	15	13	3	2	2	9	60	44	10	15
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__	4	6	0	41	6	9	3	0	11	52	0	7	11	2	5	15	0	5	17	7	6	14	7	6	0	0	0	22	3	0	0	3	4	15	21	20	14	5	4	0	2	0	6	4	7	6	0	14	6	0	49	35	0	11
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__	0	0	0	4	0	0	0	0	0	47	0	3	3	0	0	0	0	0	0	0	3	0	6	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	8	0	0	0	0	4	0	4	24	40	2	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	0	0	0	5	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	13	5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	66	126	243	407	277	222	430	632	404	1695	0	521	224	49	243	411	132	252	67	277	303	393	394	207	66	342	236	108	204	0	157	130	67	640	273	250	307	146	241	298	261	220	273	548	606	51	13	673	427	510	707	585	283	744
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	14	3	50	7	4	18	219	7	17	2	0	27	33	0	2	0	26	0	0	41	88	10	119	0	5	147	2	4	12	0	0	0	0	4	14	42	51	3	0	3	13	0	8	6	0	0	12	7	13	11	12	38	3	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	10	0	14	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0	0	19	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	3	3	0	4	0	0	28	5	328	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	4	0	20	27	0	0
