samples	_3082	_3181	_330A1	_3301.2	_s2101	_131A1	_120A2	_120A1.2	_2181	_2421	_1251	_1404.2	_1403	_120E1	_3031	_s2401	_3441	_3461	_125A1.2	_308A1	_3462	_1402	_125C1	_3182	_2451	_1402.2	_H2411	_3081	_2202	_304A1	_2422	_H2412	_H2412.2	_120A1	_1401	_1202	_120A2.2	_2191	_1252	_2201	_2431	_2192DILUTED1-10	_S2301	_304B1	_B401	_3041	_S2101.2	_2461
gi|152982|ARO_3002670|cat__Staphylococcus_aureus_RN4220_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153077|ARO_3001307|VgbA__Staphylococcus_aureus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153134|ARO_3002541|AAC(3)-VIIa__Streptomyces_rimosus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153161|ARO_3002649|APH(3_)-Va__Streptomyces_fradiae_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.207441441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153198|ARO_3002817|carA__Streptomyces_thermotolerans_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153200|ARO_3002823|ErmH__Streptomyces_thermotolerans_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153253|ARO_3001304|ErmS__Streptomyces_fradiae_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153339|ARO_3003564|EXO_beta-lactamase__Streptomyces_albus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153346|ARO_3001303|ErmO__Streptomyces_lividans_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153435|ARO_3002650|APH(3_)-Vb__Streptomyces_ribosidificus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153490|ARO_3003554|tcmA__Streptomyces_glaucescens_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|153508|ARO_3002827|tlrC__Streptomyces_fradiae_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|154685028|ARO_3002814|clbA__Bacillus_amyloliquefaciens_subsp__plantarum_str__FZB42_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|154893|ARO_3000498|ErmF__Bacteroides_fragilis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|155014|ARO_3001404|OXA-9__Klebsiella_pneumoniae_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|155022|ARO_3000205|tetX__Bacteroides_fragilis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.05912744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|155039|ARO_3002919|vanRA__Enterococcus_faecium_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|155041|ARO_3002942|vanHA__Enterococcus_faecium_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|155042|ARO_3000010|vanA__Enterococcus_faecium_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|155043|ARO_3002949|vanXA__Enterococcus_faecium_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|155044|ARO_3002955|vanYA__Enterococcus_faecium_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|155793484|ARO_3000160|blaI__Bacillus_clausii_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|155793485|ARO_3000217|blaR1__Bacillus_clausii_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15595622|ARO_3000377|mexA__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15595624|ARO_3000379|oprM__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15595903|ARO_3002679|catB7__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15597215|ARO_3002982|amrA__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	1.20397653	0	0	0	0	0	0.758860042	0	0	0	0	0	0	0	0	1.325968902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.108364399	0	0	0	0	0	0	0	0	0
gi|15597689|ARO_3000803|mexE__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15597690|ARO_3000804|mexF__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15597691|ARO_3000805|oprN__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15598770|ARO_3000819|nalD__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15598916|ARO_3000818|nalC__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15599400|ARO_3000806|mexG__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15599401|ARO_3000807|mexH__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15599402|ARO_3000808|mexI__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15599403|ARO_3000809|opmD__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15599796|ARO_3000820|nfxB__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.882541091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15606853|ARO_3003098|cphA1__Aquifex_aeolicus_VF5_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15677562|ARO_3000811|mtrD__Neisseria_meningitidis_MC58_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15677563|ARO_3000810|mtrC__Neisseria_meningitidis_MC58_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|156978661|ARO_3000746|mepR__Staphylococcus_aureus_subsp__aureus_Mu3_	2.306076163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|157272130|ARO_3002676|catB3__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|157272131|ARO_3002849|arr-4__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|157272134|ARO_3002850|arr-5__Klebsiella_pneumoniae_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|157412102|ARO_3002540|AAC(3)-VIa__Escherichia_coli_APEC_O1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1575682|ARO_3002663|APH(9)-Ib__Streptomyces_netropsis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|157734594|ARO_3002665|npmA__Escherichia_coli_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|157965686|ARO_3000603|Erm(41)__Mycobacterium_abscessus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15830993|ARO_3000676|H-NS__Escherichia_coli_O157_H7_str__Sakai_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.59922815	0	0	0	0	8.923802214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15832502|ARO_3000832|evgA__Escherichia_coli_O157_H7_str__Sakai_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55845546	0	0	0
gi|15834091|ARO_3000830|cpxA__Escherichia_coli_O157_H7_str__Sakai_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.68126594	0	0	0	0	0	0	4.461901107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.94909372	0	0	0
gi|15834092|ARO_3000831|cpxR__Escherichia_coli_O157_H7_str__Sakai_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|158392670|ARO_3000847|KHM-1_beta-lactamase__Citrobacter_freundii_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|158634584|ARO_3001767|OXA-137__Brachyspira_pilosicoli_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15903015|ARO_3000614|mefE__Streptococcus_pneumoniae_R6_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15903950|ARO_3003044|PBP1b__Streptococcus_pneumoniae_R6_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15925747|ARO_3000124|mecI__Staphylococcus_aureus_subsp__aureus_N315_	0	0	0	0	0	0	0	0.940606664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|160947040|ARO_3002910|vanL__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|160947041|ARO_3002968|vanXYL__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|160947042|ARO_3002973|vanTmL__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|160947043|ARO_3002974|vanTrL__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|160947044|ARO_3002927|vanRL__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|160947045|ARO_3002938|vanSL__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|161508254|ARO_3000621|PC1_beta-lactamase_(blaZ)__Staphylococcus_aureus_subsp__aureus_USA300_TCH959_	0	0	0	0	0	0	0	0	0	0	3.727125061	0	0	3.035440168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.347748523	0	0	0	1.581720186	0	0	1.108364399	0	0	0	0	0	0	3.364234245	0	0
gi|16151348|ARO_3000476|tet31__Aeromonas_salmonicida_subsp__salmonicida_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|164633076|ARO_3002667|rmtD__Klebsiella_pneumoniae_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1651558|ARO_3000834|phoP__Escherichia_coli_str__K-12_substr__W3110_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|16612079|ARO_3002907|vanE__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|16612080|ARO_3002967|vanXYE__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|16612081|ARO_3002971|vanTE__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|16612082|ARO_3002924|vanRE__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|16612083|ARO_3002935|vanSE__Enterococcus_faecalis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1667472|ARO_3002671|cat-TC__Lactobacillus_reuteri_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|16763731|ARO_3000790|mdsB__Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|16763734|ARO_3000504|golS__Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|16765288|ARO_3000826|sdiA__Salmonella_enterica_subsp__enterica_serovar_Typhimurium_str__LT2_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|168259002|ARO_3000194|tetW__Bifidobacterium_longum_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.05821187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.61587842	0	0
gi|1685112|ARO_3003042|PBP2b__Streptococcus_thermophilus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.094305084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1695688|ARO_3000318|mphB__Escherichia_coli_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|169633157|ARO_3000778|adeG__Acinetobacter_baumannii_SDF_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|169633158|ARO_3000777|adeF__Acinetobacter_baumannii_SDF_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.918542111	0	0	0	0	0	0	0	0
gi|169633903|ARO_3000814|mexT__Acinetobacter_baumannii_SDF_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.33925422	0	0	0	14.7329878	0	8.162521451	0	0	0	0	0	0	0	0	15.3324284	0	0	5.399221108	0	0	0	0	0	0	0	0	0	0	0
gi|169795308|ARO_3000779|adeH__Acinetobacter_baumannii_AYE_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|169797580|ARO_3002854|dfrA1__Acinetobacter_baumannii_AYE_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|17026026|ARO_3002202|IMP-11__Acinetobacter_baumannii_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|17059619|ARO_3000478|tet33__Corynebacterium_glutamicum_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1736787|ARO_3000829|baeS__Escherichia_coli_str__K-12_substr__W3110_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|17384002|ARO_3003015|dfrA19__Salmonella_enterica_subsp__enterica_serovar_Typhimurium_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1781318|ARO_3000592|ErmN__Streptomyces_fradiae_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1785985|ARO_3002884|iri__Rhodococcus_equi_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1787374|ARO_3000835|phoQ__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1788340|ARO_3003577|PmrE__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1788390|ARO_3000793|mdtB__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1788391|ARO_3000794|mdtC__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1788392|ARO_3001330|mdtD__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1788588|ARO_3003578|PmrF__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.61395171	0	0	0	0	0
gi|1788589|ARO_3002985|arnA__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1788713|ARO_3000833|evgS__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1789042|ARO_3000074|emrB__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1789437|ARO_3002986|bacA__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1789664|ARO_3000656|acrS__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
