Taxon	five.uL.219.1	one.uL.140.4.2	five.uL.125.2	five.uL.140.1	five.uL.346.1	five.uL.s210.1.2	one.uL.b40.1	five.uL.120a.1	five.uL.140.4	five.uL.330.1	five.uL.H241.2.2	one.uL.120a.2.2	one.uL.120a.1.2	one.uL.330.1	one.uL.120e.1	five.uL.140.2.2	five.uL.120a.2.2	one.uL.120a.2	five.uL.140.2	one.uL.330.1.2	one.uL.318.2	one.uL.346.2	one.uL.246.1	one.uL.330a.1	five.uL.330a.1	one.uL.346.1	one.uL.242.1	one.uL.P3	five.uL.C6	one.uL.FT4	one.uL.C2	five.uL.346.2	one.uL.FT3	five.uL.P3	five.uL.P4	one.uL.FT1	one.uL.C6	one.uL.218.1	one.uL.242.2	one.uL.P5	one.uL.220.1	five.uL.242.1	one.uL.P6	one.uL.C4	one.uL.FT5	one.uL.C3	one.uL.C1	one.uL.FT2	one.uL.308a.1	five.uL.220.1	one.uL.C5	one.uL.125.2	five.uL.245.1	five.uL.h241.2	one.uL.120a.1	five.uL.C2	one.uL.P4	one.uL.H241.2.2	one.uL.245.1	one.uL.s210.1	one.uL.125.1	five.uL.120e.1	one.uL.131a.1	five.uL.125c.1	one.uL.125a.1.2	one.uL.220.2	one.uL.243.1	five.uL.318.1	one.uL.s210.1.2	five.uL.140.4.2	five.uL.140.3	one.uL.219.2	one.uL.219.1	five.uL.control.1	five.uL.120.2	five.uL.344.1	five.uL.304b.1	one.uL.h241.2	one.uL.h241.1	five.uL.120.1	one.uL.308.2	one.uL.control.1	one.uL.s240.1	one.uL.318.1	one.uL.140.2.2	five.uL.control.2	one.uL.140.1	one.uL.344.1	one.uL.140.2	one.uL.140.3	one.uL.120.2	one.uL.304a.1	one.uL.s230.1	one.uL.304.1	one.uL.308.1	one.uL.control.2	one.uL.120.1	five.uL.219.2	five.uL.308.1	one.uL.125c.1	five.uL.P2	five.uL.120a.1.2	five.uL.125a.1	five.uL.220.2	one.uL.140.4	one.uL.304b.1	five.uL.308.2	five.uL.P1	five.uL.C3	five.uL.FT2	five.uL.C4	five.uL.242.2	five.uL.P5	five.uL.218.1	five.uL.s210.1	five.uL.303.1	five.uL.246.1	five.uL.304a.1	five.uL.C1	five.uL.FT5	one.uL.FT6	one.uL.P2	five.uL.318.2	five.uL.FT1	five.uL.h241.1	five.uL.s230.1	five.uL.FT4	five.uL.304.1	five.uL.C5	five.uL.125a.1.2	five.uL.FT6	one.uL.125a.1	one.uL.P1	five.uL.243.1	five.uL.FT3	five.uL.125.1	five.uL.131a.1	five.uL.330.1.2	five.uL.308a.1	five.uL.b40.1	five.uL.120a.2	five.uL.s240.1	five.uL.P6	one.uL.303.1
k__Archaea;p__Crenarchaeota	7.50356419299e-05	0.000119817876827	2.85204991087e-05	6.71035855683e-05	4.662004662e-05	5.26944424928e-05	0.000664537289117	0.0	0.0	2.23191036648e-05	1.41067599594e-05	1.89408288507e-05	0.0	1.82328702184e-05	6.65498347346e-05	1.47902739159e-05	2.39185811498e-05	0.000106997646052	2.78042948367e-05	2.02007959114e-05	3.28677074774e-05	4.11243394403e-05	0.0	2.03458799593e-05	1.33272916278e-05	0.000234238454747	1.9067958203e-05	6.15839389087e-05	1.74028053322e-05	7.27466718398e-05	0.0	0.000129160457029	8.77300721141e-05	4.99242815064e-05	2.00104054108e-05	2.12111570686e-05	5.81248910158e-05	0.000110487470721	6.76528955439e-05	0.0	5.23468853603e-05	1.60105028899e-05	0.0	2.7069460235e-05	3.89764776957e-05	0.0	0.0	0.0	0.000849398035305	0.0	3.71615972054e-05	2.42019409957e-05	3.69538907828e-05	0.0	8.87106789915e-05	0.0	2.08925288317e-05	0.0	7.28374559333e-05	0.00035541060378	6.35303834059e-05	3.47415230684e-05	0.000120022084063	0.0	0.00016912961671	0.0	4.5474526686e-05	9.46112154838e-05	0.000292086541069	3.24701680331e-05	4.57184656883e-05	0.000249909123955	2.09288210795e-05	0.0	8.91345039665e-05	0.000304363044239	3.99944007839e-05	5.47225566378e-05	9.97964153128e-05	0.0	0.000222333388917	0.0	0.000214193916893	8.68243976557e-05	2.71370420624e-05	0.0	5.09000831368e-05	7.82641022129e-05	4.20221036265e-05	0.0	3.50994191046e-05	9.76712386108e-05	9.61390555299e-05	0.000101716982667	0.00027388505957	0.0	0.0	0.0	0.0	0.000292917260638	0.0	0.0	0.0	0.0	0.0	0.00029534244957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	1.5007128386e-05	0.0	1.42602495544e-05	1.1183930928e-05	3.4965034965e-05	0.0	0.0	0.0	1.36591495813e-05	7.4397012216e-06	0.0	1.89408288507e-05	2.02658884565e-05	0.0	0.0	0.000562030408803	4.78371622995e-05	5.34988230259e-05	0.000435600619109	2.02007959114e-05	0.0	2.05621697201e-05	0.0	0.0	0.0	0.0	0.0	2.05279796362e-05	0.0	0.0	0.0	9.93541977149e-06	5.26380432685e-05	3.32828543376e-05	2.00104054108e-05	0.0	1.93749636719e-05	0.0	2.25509651813e-05	2.47579906415e-05	1.74489617868e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69303493611e-05	1.0609741865e-05	0.0	0.0	9.23847269569e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58825958515e-05	1.15805076895e-05	0.0	0.0	6.34236062663e-05	2.44893960915e-05	6.0632702248e-05	1.35158879263e-05	2.08633243621e-05	0.0	4.57184656883e-05	0.0	0.0	0.00060619181641	0.0	1.5218152212e-05	0.0	0.0	3.99185661251e-05	0.0	1.85277824097e-05	0.000178491744757	0.0	0.0	0.000352781546811	2.89142691918e-05	0.0	5.86980766597e-05	0.000504265243518	0.000133031794599	0.0	2.79060681745e-05	3.8455622212e-05	0.0	6.84712648925e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000166278683073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__	0.0	0.0	0.0	0.0	0.0	1.75648141643e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82828726049e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75460144228e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69303493611e-05	0.0	0.0	0.0	9.23847269569e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31610153789e-05	0.0	0.0	0.0	0.0	0.0	1.35158879263e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.69344042838e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.56475099283e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3	1.5007128386e-05	0.0	1.42602495544e-05	0.0	1.1655011655e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02658884565e-05	0.0	0.0	0.0	4.78371622995e-05	0.0	1.85361965578e-05	0.0	0.0	2.05621697201e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9870839543e-05	1.75460144228e-05	0.0	2.00104054108e-05	2.12111570686e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22015008215e-05	0.0	0.0	0.0	1.0609741865e-05	0.0	4.84038819913e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44893960915e-05	0.0	0.0	0.0	0.0	4.57184656883e-05	0.0	0.0	0.000108248538645	0.0	1.5218152212e-05	1.99972003919e-05	0.0	0.0	0.0	3.70555648194e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.95660255532e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.00783372101748	0.0146177809729	0.0159429590018	0.00212494687633	0.0127622377622	0.0236246750509	0.00960363566207	0.0330969267139	0.00547731898212	0.00827294775842	0.0146851371177	0.00753844988257	0.00520833333333	0.00627210735514	0.00834091262007	0.0377447790333	0.00758219022448	0.00613453170697	0.0265252972743	0.00531280932469	0.00466721446179	0.00962309542903	0.00563112476232	0.00781281790437	0.00835621185063	0.0175318474207	0.00261231027382	0.00687687317814	0.00476836866103	0.00977230291714	0.008396927082	0.00915052160954	0.00526380432685	0.00642359088715	0.00458238283908	0.00430586488493	0.00526999011877	0.00848543775136	0.00976456792351	0.00621425565101	0.00834060373408	0.00272178549128	0.004883960047	0.00554923934817	0.00555414807164	0.00508414368811	0.00644237652112	0.00608499984154	0.0183174532831	0.00801035510806	0.00763670822572	0.0152956267093	0.00582023779829	0.0278088540834	0.0150098468854	0.00689655172414	0.00453367875648	0.0130162038456	0.00294263321971	0.0185022579027	0.00211238524824	0.00903279599778	0.0150747737584	0.0188852389249	0.0307815902412	0.00822843708674	0.00228888450986	0.0128671253058	0.0169201560577	0.0165435506129	0.0181502308783	0.0209923664122	0.00600657164982	0.00731760121238	0.00328906319636	0.0133158831855	0.00959865618813	0.0141366604648	0.00900163666121	0.000659204834169	0.0131176699461	0.00305667112896	0.00787162644581	0.0125895376601	0.0413839891452	0.00031805696111	0.00154396918848	0.014713651216	0.0197083666008	0.00829231519667	0.00291325178568	0.00362778886269	0.0138440239963	0.00703881520059	0.0169124024284	0.000207758848638	0.000506750642487	0.0358989749746	0.00609756097561	0.0127321369291	0.00404858299595	0.00997672098437	0.00350877192982	0.0117647058824	0.00288974632625	0.0037803833545	0.0026455026455	0.0	0.0126582278481	0.00361010830325	0.0151515151515	0.0153846153846	0.0119047619048	0.00507614213198	0.00806451612903	0.0	0.0119760479042	0.00749711649366	0.00869565217391	0.0	0.0	0.0	0.00724637681159	0.00625	0.0165975103734	0.0	0.0	0.0	0.020618556701	0.0121951219512	0.0	0.00078099875959	0.0	0.0167785234899	0.0	0.012987012987	0.00333333333333	0.0110497237569	0.0140350877193	0.0184049079755	0.00324675324675	0.00381679389313	0.0123456790123	0.0
k__Bacteria;p__Actinobacteria	0.313093719517	0.214857416727	0.411265597148	0.123895586821	0.255804195804	0.530597906274	0.308924092692	0.346536420001	0.125227083362	0.257078875712	0.507885678817	0.283373740435	0.324233949416	0.230591109652	0.395993699949	0.308554694433	0.283662413146	0.185248591198	0.275642510913	0.256812718421	0.147460969597	0.291838874838	0.389589732339	0.416378433367	0.465295732601	0.226292365628	0.261211959423	0.258837295233	0.379120114162	0.464826984165	0.462086215257	0.330352707402	0.265892302563	0.267644073156	0.317485092248	0.346144872203	0.246197663379	0.209904096875	0.379532744001	0.365774553737	0.340533938231	0.226308458349	0.347826086957	0.366493422121	0.270145966909	0.308623062919	0.48031496063	0.538680949514	0.292229854494	0.414575663374	0.250970846727	0.372492073864	0.258658758534	0.331308933994	0.165676064085	0.393103448276	0.244421694802	0.294305155398	0.13466188853	0.309813513966	0.290651504082	0.414188438021	0.428310809189	0.328403665332	0.229762584301	0.316109124749	0.109214654924	0.174327922473	0.304521082389	0.25662797305	0.383120742468	0.260428026172	0.343295452167	0.0571985278199	0.0816561190837	0.371490313646	0.232967384566	0.261519098172	0.259829946908	0.0952688319714	0.195838660071	0.0550870147256	0.335802513209	0.219795962666	0.219592944369	0.00511782564696	0.107891209556	0.365199866951	0.234504349288	0.145536783291	0.0699531422755	0.131381768966	0.241059067836	0.386748311498	0.24179486009	0.00774373890379	0.0425489557317	0.373349339736	0.32012195122	0.209904508973	0.279352226721	0.412703691387	0.256140350877	0.294117647059	0.065807404975	0.0984967069317	0.338624338624	0.342657342657	0.430379746835	0.404332129964	0.386363636364	0.292307692308	0.285714285714	0.314720812183	0.221774193548	0.298387096774	0.281437125749	0.250288350634	0.408695652174	0.318181818182	0.328947368421	0.27027027027	0.289855072464	0.4125	0.236514522822	0.246913580247	0.412765957447	0.277419354839	0.463917525773	0.219512195122	0.402985074627	0.00248081958929	0.323308270677	0.308724832215	0.385964912281	0.214285714286	0.24	0.243093922652	0.291228070175	0.263803680982	0.198051948052	0.297709923664	0.345679012346	0.30985915493
k__Bacteria;p__Armatimonadetes	0.000480228108351	0.00129403306973	0.00152584670232	0.000123023240208	0.000862470862471	0.0026522869388	0.000643100602371	0.00352379677952	0.000969799620276	0.000825806835597	0.0031599142309	0.00083339646943	0.000405317769131	0.000601684717208	0.000532398677877	0.00649293024907	0.000609923819319	0.00051715528925	0.00323456629934	0.000464618305961	0.000525883319638	0.000945859807127	0.000511920432938	0.000752797558494	0.000892928539062	0.00133335735779	0.000305087331249	0.00197068604508	0.00304549093314	0.00160042678047	0.00204180597739	0.000834575260805	0.00193006158651	0.00168078414405	0.00144074918958	0.0010817690105	0.00151124716641	0.000883899765767	0.00151091466715	0.00165878537298	0.000697958471471	0.000128084023119	0.00330493537015	0.00221969573927	0.00128622376396	0.00137649305093	0.0050107372942	0.001996640573	0.00118177117956	0.00114585212142	0.00185807986027	0.00123429899078	0.000489639052872	0.0050343615151	0.00118872309849	0.0	0.00114908908574	0.00104211365169	0.00026221484136	0.00123348386018	0.000238238937772	0.000625347415231	0.00295254326796	0.00570547006956	0.00016912961671	0.000636724298379	0.000212214457868	0.00075688972387	0.00108489286683	0.00152609789756	0.00269738947561	0.00215830607052	0.000879010485339	0.000173197661832	0.000427845619039	0.000395671957511	0.00219969204311	0.000985006019481	0.00137719053132	0.00037080271922	0.00107461137976	0.0	0.000696130229901	0.000759713479488	0.00374491180461	0.0	0.000118766860653	0.000626112817703	0.00157582888599	0.000554299144162	0.000210596514628	0.000348825852182	0.000999846177511	0.000508584913337	0.00239649427124	1.8887168058e-05	1.80982372317e-05	0.00385538830917	0.0	0.000956863051417	0.0	0.000665114732291	0.00350877192982	0.0	0.000197028158608	0.000324876694527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00507614213198	0.00403225806452	0.00806451612903	0.0	0.00115340253749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00425531914894	0.0	0.0	0.0	0.0	0.0	0.0	0.00671140939597	0.0	0.0	0.0	0.0	0.0	0.0	0.00324675324675	0.00381679389313	0.0	0.0
k__Bacteria;p__BHI80-139	0.0	0.0	0.0	0.0	0.0	1.75648141643e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19592905749e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77421357983e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.40044168127e-05	0.0	0.0	0.0	0.0	1.35158879263e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9534244957e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__BRC1	1.5007128386e-05	0.0	0.0	1.1183930928e-05	1.1655011655e-05	8.78240708213e-05	0.0	8.92100450511e-05	0.0	0.0	4.23202798781e-05	3.78816577013e-05	4.05317769131e-05	0.0	0.0	0.0	0.0	1.78329410086e-05	2.78042948367e-05	0.0	0.0	0.0	0.0	0.0	2.66545832556e-05	0.00025225679742	1.9067958203e-05	0.0	0.0	0.0	0.0	0.0	3.50920288456e-05	1.66414271688e-05	0.0	2.12111570686e-05	0.0	2.20974941442e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44030016429e-05	0.0	0.0	0.0	2.121948373e-05	0.0	0.0	4.61923634785e-05	0.0	1.77421357983e-05	0.0	0.0	2.04336010135e-05	1.45674911867e-05	0.000104532530523	0.0	1.15805076895e-05	0.0	0.0	0.000126847212533	4.8978792183e-05	0.000106107228934	0.0	4.17266487242e-05	1.62350840166e-05	4.57184656883e-05	2.27190112686e-05	0.0	0.000368045031392	8.91345039665e-06	1.5218152212e-05	1.99972003919e-05	5.47225566378e-05	0.0	0.0	5.55833472292e-05	0.000490852298081	0.0	0.0	0.0	0.0	0.0	1.95660255532e-05	0.0	0.0	1.75497095523e-05	1.39530340873e-05	0.0	0.0	4.56475099283e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030487804878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	0.112403391611	0.103115264798	0.0947736185383	0.0217191938623	0.127097902098	0.0587894330078	0.0935068275847	0.0657031981801	0.0484899810138	0.090042703885	0.142760410789	0.117130085613	0.0722884241245	0.0773620683368	0.0594733689745	0.138791930427	0.126995706615	0.0869177544761	0.116342437695	0.0904995656829	0.0711750205423	0.108691629141	0.215299107796	0.126917599186	0.116267292161	0.122614821889	0.180058729311	0.0541938662397	0.026661097769	0.0323480200781	0.0371353462137	0.113740685544	0.0463916621339	0.0596262335458	0.0324568775763	0.034934775692	0.0413655474396	0.0698722764838	0.0636388237417	0.0420390681092	0.131617518758	0.190893225956	0.0205273207991	0.0434194142169	0.0377487186483	0.0293059810843	0.034359341446	0.0222165879631	0.110033975921	0.133714576724	0.0581021572307	0.0961785135168	0.0392265550659	0.201774013105	0.0657700974043	0.0344827586207	0.0282258064516	0.127955209547	0.0415901873379	0.0664617829068	0.0150090530796	0.058585788401	0.0454403610264	0.0585442406671	0.0196401767404	0.0994514375276	0.0297554986282	0.0640788246584	0.0664705514177	0.108791297995	0.171078498606	0.0601145038168	0.098721249032	0.0648408746482	0.0290489348427	0.178767634034	0.171056052153	0.131024041443	0.0988782882919	0.0138158346495	0.103996442666	0.0631860776439	0.104294588034	0.0639461688735	0.0830936227951	0.0144571345959	0.0179337959585	0.166839499892	0.0616254149683	0.0813045984657	0.0219020375213	0.0212923300172	0.161129057068	0.246338188624	0.0865020313142	0.014656442413	0.00816230499149	0.0720288115246	0.167682926829	0.0540139428616	0.101214574899	0.0972730295976	0.0491228070175	0.0823529411765	0.0252852803547	0.183023715999	0.132275132275	0.111888111888	0.0253164556962	0.0180505415162	0.0530303030303	0.123076923077	0.0595238095238	0.0862944162437	0.0967741935484	0.0887096774194	0.059880239521	0.0444059976932	0.0695652173913	0.0795454545455	0.0394736842105	0.0675675675676	0.101449275362	0.04375	0.0912863070539	0.0432098765432	0.0255319148936	0.158064516129	0.0721649484536	0.0701219512195	0.0746268656716	0.000413469931548	0.112781954887	0.0906040268456	0.0526315789474	0.0324675324675	0.0533333333333	0.060773480663	0.101754385965	0.0858895705521	0.0487012987013	0.0916030534351	0.0246913580247	0.056338028169
